Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
2024-01-01 00:00:00,Switzerland,Switzerland,CH,17.88,39.85,97.38,59.92,Electricity Maps Estimation
2024-01-02 00:00:00,Switzerland,Switzerland,CH,9.87,29.23,98.28,55.94,Electricity Maps Estimation
2024-01-03 00:00:00,Switzerland,Switzerland,CH,14.06,34.23,97.74,57.31,Electricity Maps Estimation
2024-01-04 00:00:00,Switzerland,Switzerland,CH,11.91,32.36,97.89,57.95,Electricity Maps Estimation
2024-01-05 00:00:00,Switzerland,Switzerland,CH,17.79,38.13,96.80,52.79,Electricity Maps Estimation
2024-01-06 00:00:00,Switzerland,Switzerland,CH,12.40,32.71,97.41,52.48,Electricity Maps Estimation
2024-01-07 00:00:00,Switzerland,Switzerland,CH,19.48,40.51,96.73,54.42,Electricity Maps Estimation
2024-01-08 00:00:00,Switzerland,Switzerland,CH,57.17,83.39,91.49,56.06,Electricity Maps Estimation
2024-01-09 00:00:00,Switzerland,Switzerland,CH,75.05,104.33,89.41,57.64,Electricity Maps Estimation
2024-01-10 00:00:00,Switzerland,Switzerland,CH,61.51,89.66,90.83,55.95,Electricity Maps Estimation
2024-01-11 00:00:00,Switzerland,Switzerland,CH,62.29,90.35,90.65,55.90,Electricity Maps Estimation
2024-01-12 00:00:00,Switzerland,Switzerland,CH,61.24,89.05,90.93,58.30,Electricity Maps Estimation
2024-01-13 00:00:00,Switzerland,Switzerland,CH,82.24,112.79,88.69,61.57,Electricity Maps Estimation
2024-01-14 00:00:00,Switzerland,Switzerland,CH,84.27,115.49,88.47,62.69,Electricity Maps Estimation
2024-01-15 00:00:00,Switzerland,Switzerland,CH,74.64,103.03,89.67,58.83,Electricity Maps Estimation
2024-01-16 00:00:00,Switzerland,Switzerland,CH,53.81,80.05,92.18,56.29,Electricity Maps Estimation
2024-01-17 00:00:00,Switzerland,Switzerland,CH,31.52,54.40,95.01,53.66,Electricity Maps Estimation
2024-01-18 00:00:00,Switzerland,Switzerland,CH,38.70,62.55,93.98,53.85,Electricity Maps Estimation
2024-01-19 00:00:00,Switzerland,Switzerland,CH,72.57,101.20,89.54,59.56,Electricity Maps Estimation
2024-01-20 00:00:00,Switzerland,Switzerland,CH,64.39,93.62,90.41,61.98,Electricity Maps Estimation
2024-01-21 00:00:00,Switzerland,Switzerland,CH,44.64,70.97,93.41,61.05,Electricity Maps Estimation
2024-01-22 00:00:00,Switzerland,Switzerland,CH,40.26,64.21,94.35,60.17,Electricity Maps Estimation
2024-01-23 00:00:00,Switzerland,Switzerland,CH,40.40,64.89,94.10,59.31,Electricity Maps Estimation
2024-01-24 00:00:00,Switzerland,Switzerland,CH,38.33,61.57,94.55,58.41,Electricity Maps Estimation
2024-01-25 00:00:00,Switzerland,Switzerland,CH,31.82,55.05,95.17,56.22,Electricity Maps Estimation
2024-01-26 00:00:00,Switzerland,Switzerland,CH,40.74,64.71,94.19,56.84,Electricity Maps Estimation
2024-01-27 00:00:00,Switzerland,Switzerland,CH,37.88,63.10,94.32,58.74,Electricity Maps Estimation
2024-01-28 00:00:00,Switzerland,Switzerland,CH,27.05,50.15,95.72,55.09,Electricity Maps Estimation
2024-01-29 00:00:00,Switzerland,Switzerland,CH,39.95,64.77,93.88,56.80,Electricity Maps Estimation
2024-01-30 00:00:00,Switzerland,Switzerland,CH,39.71,64.16,93.83,55.00,Electricity Maps Estimation
2024-01-31 00:00:00,Switzerland,Switzerland,CH,39.10,63.35,94.16,55.82,Electricity Maps Estimation
2024-02-01 00:00:00,Switzerland,Switzerland,CH,44.29,68.97,93.59,56.48,Electricity Maps Estimation
2024-02-02 00:00:00,Switzerland,Switzerland,CH,37.75,61.94,94.54,58.40,Electricity Maps Estimation
2024-02-03 00:00:00,Switzerland,Switzerland,CH,46.14,72.19,93.91,64.96,Electricity Maps Estimation
2024-02-04 00:00:00,Switzerland,Switzerland,CH,39.22,65.02,94.81,66.10,Electricity Maps Estimation
2024-02-05 00:00:00,Switzerland,Switzerland,CH,39.69,64.88,94.62,66.22,Electricity Maps Estimation
2024-02-06 00:00:00,Switzerland,Switzerland,CH,40.19,64.36,94.49,63.32,Electricity Maps Estimation
2024-02-07 00:00:00,Switzerland,Switzerland,CH,19.75,40.79,97.04,57.63,Electricity Maps Estimation
2024-02-08 00:00:00,Switzerland,Switzerland,CH,18.04,38.54,97.19,54.67,Electricity Maps Estimation
2024-02-09 00:00:00,Switzerland,Switzerland,CH,26.19,47.35,96.14,53.43,Electricity Maps Estimation
2024-02-10 00:00:00,Switzerland,Switzerland,CH,23.30,44.87,96.57,56.03,Electricity Maps Estimation
2024-02-11 00:00:00,Switzerland,Switzerland,CH,19.08,40.10,96.95,54.18,Electricity Maps Estimation
2024-02-12 00:00:00,Switzerland,Switzerland,CH,35.45,59.31,94.62,56.08,Electricity Maps Estimation
2024-02-13 00:00:00,Switzerland,Switzerland,CH,45.58,70.99,93.37,57.04,Electricity Maps Estimation
2024-02-14 00:00:00,Switzerland,Switzerland,CH,29.44,52.10,95.44,54.72,Electricity Maps Estimation
2024-02-15 00:00:00,Switzerland,Switzerland,CH,26.10,48.29,95.96,54.43,Electricity Maps Estimation
2024-02-16 00:00:00,Switzerland,Switzerland,CH,29.32,51.97,95.60,55.94,Electricity Maps Estimation
2024-02-17 00:00:00,Switzerland,Switzerland,CH,23.65,45.42,96.34,52.79,Electricity Maps Estimation
2024-02-18 00:00:00,Switzerland,Switzerland,CH,22.08,44.24,96.42,53.94,Electricity Maps Estimation
2024-02-19 00:00:00,Switzerland,Switzerland,CH,18.93,40.03,96.94,53.80,Electricity Maps Estimation
2024-02-20 00:00:00,Switzerland,Switzerland,CH,21.28,43.05,96.60,54.43,Electricity Maps Estimation
2024-02-21 00:00:00,Switzerland,Switzerland,CH,25.61,47.96,96.05,56.00,Electricity Maps Estimation
2024-02-22 00:00:00,Switzerland,Switzerland,CH,18.10,38.88,97.07,55.57,Electricity Maps Estimation
2024-02-23 00:00:00,Switzerland,Switzerland,CH,26.51,48.95,96.04,58.98,Electricity Maps Estimation
2024-02-24 00:00:00,Switzerland,Switzerland,CH,33.86,58.06,94.95,59.04,Electricity Maps Estimation
2024-02-25 00:00:00,Switzerland,Switzerland,CH,36.62,61.93,94.61,60.18,Electricity Maps Estimation
2024-02-26 00:00:00,Switzerland,Switzerland,CH,31.97,55.71,94.66,55.43,Electricity Maps Estimation
2024-02-27 00:00:00,Switzerland,Switzerland,CH,22.77,44.99,95.94,55.49,Electricity Maps Estimation
2024-02-28 00:00:00,Switzerland,Switzerland,CH,12.99,34.36,97.28,55.08,Electricity Maps Estimation
2024-02-29 00:00:00,Switzerland,Switzerland,CH,19.53,41.31,96.87,56.48,Electricity Maps Estimation
2024-03-01 00:00:00,Switzerland,Switzerland,CH,19.28,40.10,96.82,54.28,Electricity Maps Estimation
2024-03-02 00:00:00,Switzerland,Switzerland,CH,36.30,60.72,94.86,57.95,Electricity Maps Estimation
2024-03-03 00:00:00,Switzerland,Switzerland,CH,34.94,60.04,95.33,62.74,Electricity Maps Estimation
2024-03-04 00:00:00,Switzerland,Switzerland,CH,34.35,58.36,94.77,58.31,Electricity Maps Estimation
2024-03-05 00:00:00,Switzerland,Switzerland,CH,29.99,53.14,95.07,55.36,Electricity Maps Estimation
2024-03-06 00:00:00,Switzerland,Switzerland,CH,32.81,56.45,94.87,56.71,Electricity Maps Estimation
