Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
2024-01-01 00:00:00,Czechia,Czechia,CZ,308.92,339.14,70.59,18.33,ceps.cz
2024-01-02 00:00:00,Czechia,Czechia,CZ,282.08,314.39,72.10,27.35,ceps.cz
2024-01-03 00:00:00,Czechia,Czechia,CZ,277.25,309.71,72.49,29.50,ceps.cz
2024-01-04 00:00:00,Czechia,Czechia,CZ,356.78,392.33,63.42,18.55,ceps.cz
2024-01-05 00:00:00,Czechia,Czechia,CZ,408.55,448.11,57.52,14.86,ceps.cz
2024-01-06 00:00:00,Czechia,Czechia,CZ,464.74,501.50,55.34,11.62,ceps.cz
2024-01-07 00:00:00,Czechia,Czechia,CZ,422.20,457.15,59.13,14.02,ceps.cz
2024-01-08 00:00:00,Czechia,Czechia,CZ,476.01,517.06,51.33,12.23,ceps.cz
2024-01-09 00:00:00,Czechia,Czechia,CZ,518.56,562.26,46.95,11.61,ceps.cz
2024-01-10 00:00:00,Czechia,Czechia,CZ,497.56,541.71,48.31,12.95,ceps.cz
2024-01-11 00:00:00,Czechia,Czechia,CZ,502.89,548.03,47.45,12.97,ceps.cz
2024-01-12 00:00:00,Czechia,Czechia,CZ,511.86,556.08,47.27,11.38,ceps.cz
2024-01-13 00:00:00,Czechia,Czechia,CZ,467.43,508.19,53.68,17.04,ceps.cz
2024-01-14 00:00:00,Czechia,Czechia,CZ,486.06,526.16,52.48,16.02,ceps.cz
2024-01-15 00:00:00,Czechia,Czechia,CZ,504.45,545.42,50.66,16.96,ceps.cz
2024-01-16 00:00:00,Czechia,Czechia,CZ,520.28,564.83,46.54,12.25,ceps.cz
2024-01-17 00:00:00,Czechia,Czechia,CZ,569.50,617.75,41.48,13.71,ceps.cz
2024-01-18 00:00:00,Czechia,Czechia,CZ,539.32,584.19,45.03,9.85,ceps.cz
2024-01-19 00:00:00,Czechia,Czechia,CZ,536.32,581.02,45.71,12.00,ceps.cz
2024-01-20 00:00:00,Czechia,Czechia,CZ,503.60,544.39,51.28,16.94,ceps.cz
2024-01-21 00:00:00,Czechia,Czechia,CZ,420.70,461.84,57.74,24.43,ceps.cz
2024-01-22 00:00:00,Czechia,Czechia,CZ,464.70,509.61,51.22,22.45,ceps.cz
2024-01-23 00:00:00,Czechia,Czechia,CZ,473.24,514.86,53.19,23.80,ceps.cz
2024-01-24 00:00:00,Czechia,Czechia,CZ,451.87,491.74,55.65,25.15,ceps.cz
2024-01-25 00:00:00,Czechia,Czechia,CZ,488.87,532.04,50.12,15.71,ceps.cz
2024-01-26 00:00:00,Czechia,Czechia,CZ,464.15,504.85,54.48,20.13,ceps.cz
2024-01-27 00:00:00,Czechia,Czechia,CZ,402.44,439.48,61.05,20.74,ceps.cz
2024-01-28 00:00:00,Czechia,Czechia,CZ,398.75,437.55,60.65,19.93,ceps.cz
2024-01-29 00:00:00,Czechia,Czechia,CZ,476.35,521.00,50.66,17.06,ceps.cz
2024-01-30 00:00:00,Czechia,Czechia,CZ,498.94,543.16,49.85,18.24,ceps.cz
2024-01-31 00:00:00,Czechia,Czechia,CZ,549.41,600.66,42.32,20.01,ceps.cz
2024-02-01 00:00:00,Czechia,Czechia,CZ,556.91,607.38,42.14,19.95,ceps.cz
2024-02-02 00:00:00,Czechia,Czechia,CZ,542.95,588.62,46.94,23.08,ceps.cz
2024-02-03 00:00:00,Czechia,Czechia,CZ,456.78,498.97,55.25,28.72,ceps.cz
2024-02-04 00:00:00,Czechia,Czechia,CZ,404.04,444.60,60.16,32.03,ceps.cz
2024-02-05 00:00:00,Czechia,Czechia,CZ,409.23,446.75,60.39,25.59,ceps.cz
2024-02-06 00:00:00,Czechia,Czechia,CZ,403.98,441.52,60.56,24.02,ceps.cz
2024-02-07 00:00:00,Czechia,Czechia,CZ,481.56,524.56,50.69,14.91,ceps.cz
2024-02-08 00:00:00,Czechia,Czechia,CZ,485.54,529.24,49.66,11.51,ceps.cz
2024-02-09 00:00:00,Czechia,Czechia,CZ,489.39,530.16,52.51,14.67,ceps.cz
2024-02-10 00:00:00,Czechia,Czechia,CZ,468.02,506.33,55.12,12.73,ceps.cz
2024-02-11 00:00:00,Czechia,Czechia,CZ,438.67,476.18,57.19,10.83,ceps.cz
2024-02-12 00:00:00,Czechia,Czechia,CZ,508.29,548.28,51.07,12.43,ceps.cz
2024-02-13 00:00:00,Czechia,Czechia,CZ,523.50,564.62,49.75,13.99,ceps.cz
2024-02-14 00:00:00,Czechia,Czechia,CZ,475.91,515.79,53.76,15.03,ceps.cz
2024-02-15 00:00:00,Czechia,Czechia,CZ,506.65,546.96,51.12,12.09,ceps.cz
2024-02-16 00:00:00,Czechia,Czechia,CZ,443.85,483.46,56.63,18.35,ceps.cz
2024-02-17 00:00:00,Czechia,Czechia,CZ,464.27,503.68,54.99,14.58,ceps.cz
2024-02-18 00:00:00,Czechia,Czechia,CZ,375.92,414.88,62.43,19.61,ceps.cz
