Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
2024-01-01 00:00:00,Germany,Germany,DE,145.00,189.04,82.18,79.28,entsoe.eu
2024-01-02 00:00:00,Germany,Germany,DE,159.35,201.62,79.52,74.79,entsoe.eu
2024-01-03 00:00:00,Germany,Germany,DE,140.14,181.56,81.75,78.39,entsoe.eu
2024-01-04 00:00:00,Germany,Germany,DE,285.74,339.83,64.17,59.01,entsoe.eu
2024-01-05 00:00:00,Germany,Germany,DE,311.46,368.57,61.12,56.83,entsoe.eu
2024-01-06 00:00:00,Germany,Germany,DE,358.54,420.30,55.84,48.73,entsoe.eu
2024-01-07 00:00:00,Germany,Germany,DE,349.41,411.27,56.65,50.83,entsoe.eu
2024-01-08 00:00:00,Germany,Germany,DE,374.22,437.34,51.84,48.99,entsoe.eu
2024-01-09 00:00:00,Germany,Germany,DE,463.01,532.94,41.44,39.57,entsoe.eu
2024-01-10 00:00:00,Germany,Germany,DE,507.68,583.21,34.82,32.60,entsoe.eu
2024-01-11 00:00:00,Germany,Germany,DE,514.24,590.33,34.06,31.07,entsoe.eu
2024-01-12 00:00:00,Germany,Germany,DE,496.94,569.75,36.87,34.77,entsoe.eu
2024-01-13 00:00:00,Germany,Germany,DE,340.94,401.42,56.91,56.64,entsoe.eu
2024-01-14 00:00:00,Germany,Germany,DE,311.65,369.64,60.70,60.46,entsoe.eu
2024-01-15 00:00:00,Germany,Germany,DE,357.87,416.80,54.17,53.11,entsoe.eu
2024-01-16 00:00:00,Germany,Germany,DE,450.93,517.79,43.18,41.23,entsoe.eu
2024-01-17 00:00:00,Germany,Germany,DE,460.72,528.86,41.84,38.16,entsoe.eu
2024-01-18 00:00:00,Germany,Germany,DE,458.28,528.87,41.19,37.48,entsoe.eu
2024-01-19 00:00:00,Germany,Germany,DE,335.55,393.01,57.09,56.57,entsoe.eu
2024-01-20 00:00:00,Germany,Germany,DE,270.45,326.03,63.85,63.17,entsoe.eu
2024-01-21 00:00:00,Germany,Germany,DE,178.92,227.34,75.30,73.99,entsoe.eu
2024-01-22 00:00:00,Germany,Germany,DE,178.81,222.02,76.41,74.33,entsoe.eu
2024-01-23 00:00:00,Germany,Germany,DE,188.78,234.09,74.89,72.92,entsoe.eu
2024-01-24 00:00:00,Germany,Germany,DE,168.86,211.53,77.78,75.97,entsoe.eu
2024-01-25 00:00:00,Germany,Germany,DE,275.03,331.71,62.97,59.56,entsoe.eu
2024-01-26 00:00:00,Germany,Germany,DE,221.79,272.40,70.96,68.60,entsoe.eu
2024-01-27 00:00:00,Germany,Germany,DE,235.23,290.44,69.56,66.48,entsoe.eu
2024-01-28 00:00:00,Germany,Germany,DE,207.49,265.46,71.64,67.08,entsoe.eu
2024-01-29 00:00:00,Germany,Germany,DE,325.26,386.97,57.99,54.43,entsoe.eu
2024-01-30 00:00:00,Germany,Germany,DE,305.88,363.98,61.15,57.69,entsoe.eu
2024-01-31 00:00:00,Germany,Germany,DE,294.08,349.12,62.86,59.19,entsoe.eu
2024-02-01 00:00:00,Germany,Germany,DE,259.82,310.41,67.65,65.48,entsoe.eu
2024-02-02 00:00:00,Germany,Germany,DE,204.83,253.36,73.43,71.43,entsoe.eu
2024-02-03 00:00:00,Germany,Germany,DE,162.63,206.33,79.50,79.01,entsoe.eu
2024-02-04 00:00:00,Germany,Germany,DE,142.53,185.24,81.76,81.57,entsoe.eu
2024-02-05 00:00:00,Germany,Germany,DE,160.60,202.12,79.18,79.14,entsoe.eu
2024-02-06 00:00:00,Germany,Germany,DE,158.19,199.61,79.47,78.78,entsoe.eu
2024-02-07 00:00:00,Germany,Germany,DE,333.41,391.07,58.11,54.18,entsoe.eu
2024-02-08 00:00:00,Germany,Germany,DE,432.55,500.63,45.34,40.38,entsoe.eu
2024-02-09 00:00:00,Germany,Germany,DE,280.33,334.59,65.04,61.02,entsoe.eu
2024-02-10 00:00:00,Germany,Germany,DE,344.95,409.01,58.19,53.06,entsoe.eu
2024-02-11 00:00:00,Germany,Germany,DE,300.38,360.50,63.01,57.61,entsoe.eu
2024-02-12 00:00:00,Germany,Germany,DE,376.74,440.36,53.38,48.88,entsoe.eu
2024-02-13 00:00:00,Germany,Germany,DE,319.81,379.94,60.22,57.23,entsoe.eu
2024-02-14 00:00:00,Germany,Germany,DE,344.34,402.33,58.53,54.22,entsoe.eu
2024-02-15 00:00:00,Germany,Germany,DE,348.80,410.37,57.03,52.27,entsoe.eu
2024-02-16 00:00:00,Germany,Germany,DE,273.88,328.17,66.36,62.62,entsoe.eu
2024-02-17 00:00:00,Germany,Germany,DE,328.12,391.87,58.41,52.78,entsoe.eu
2024-02-18 00:00:00,Germany,Germany,DE,211.73,267.39,72.18,67.74,entsoe.eu
2024-02-19 00:00:00,Germany,Germany,DE,259.48,310.53,68.29,64.25,entsoe.eu
2024-02-20 00:00:00,Germany,Germany,DE,274.42,329.19,65.85,61.92,entsoe.eu
2024-02-21 00:00:00,Germany,Germany,DE,230.46,281.40,71.06,67.12,entsoe.eu
2024-02-22 00:00:00,Germany,Germany,DE,206.73,254.74,73.79,69.58,entsoe.eu
2024-02-23 00:00:00,Germany,Germany,DE,216.60,265.72,72.13,69.96,entsoe.eu
2024-02-24 00:00:00,Germany,Germany,DE,254.40,314.98,67.25,63.82,entsoe.eu
2024-02-25 00:00:00,Germany,Germany,DE,286.76,350.23,63.44,58.81,entsoe.eu
2024-02-26 00:00:00,Germany,Germany,DE,338.79,403.35,56.67,51.93,entsoe.eu
2024-02-27 00:00:00,Germany,Germany,DE,438.50,510.41,43.92,38.90,entsoe.eu
2024-02-28 00:00:00,Germany,Germany,DE,419.85,492.16,45.30,40.80,entsoe.eu
2024-02-29 00:00:00,Germany,Germany,DE,277.57,334.57,64.83,61.84,entsoe.eu
2024-03-01 00:00:00,Germany,Germany,DE,309.38,370.50,60.88,56.23,entsoe.eu
2024-03-02 00:00:00,Germany,Germany,DE,262.32,323.03,66.54,63.70,entsoe.eu
