Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
2024-01-01 00:00:00,Great Britain,Great Britain,GB,68.16,110.72,83.18,62.45, nationalgrideso.com; elexon.co.uk
2024-01-02 00:00:00,Great Britain,Great Britain,GB,100.15,153.23,74.49,55.81, nationalgrideso.com; elexon.co.uk
2024-01-03 00:00:00,Great Britain,Great Britain,GB,123.86,185.00,68.07,48.60, nationalgrideso.com; elexon.co.uk
2024-01-04 00:00:00,Great Britain,Great Britain,GB,174.56,251.93,55.34,37.36, nationalgrideso.com; elexon.co.uk
2024-01-05 00:00:00,Great Britain,Great Britain,GB,156.81,230.59,58.66,41.18, nationalgrideso.com; elexon.co.uk
2024-01-06 00:00:00,Great Britain,Great Britain,GB,167.91,242.40,57.03,38.60, nationalgrideso.com; elexon.co.uk
2024-01-07 00:00:00,Great Britain,Great Britain,GB,182.87,261.07,54.49,37.03, nationalgrideso.com; elexon.co.uk
2024-01-08 00:00:00,Great Britain,Great Britain,GB,197.31,277.01,49.58,39.36, nationalgrideso.com; elexon.co.uk
2024-01-09 00:00:00,Great Britain,Great Britain,GB,181.21,258.35,53.03,45.65, nationalgrideso.com; elexon.co.uk
2024-01-10 00:00:00,Great Britain,Great Britain,GB,216.59,303.46,44.24,36.98, nationalgrideso.com; elexon.co.uk
2024-01-11 00:00:00,Great Britain,Great Britain,GB,237.09,329.16,39.15,31.28, nationalgrideso.com; elexon.co.uk
2024-01-12 00:00:00,Great Britain,Great Britain,GB,254.37,349.84,35.92,26.44, nationalgrideso.com; elexon.co.uk
2024-01-13 00:00:00,Great Britain,Great Britain,GB,205.62,280.86,49.08,38.02, nationalgrideso.com; elexon.co.uk
2024-01-14 00:00:00,Great Britain,Great Britain,GB,157.36,220.34,62.43,49.26, nationalgrideso.com; elexon.co.uk; Electricity Maps Estimation
2024-01-15 00:00:00,Great Britain,Great Britain,GB,172.26,240.37,58.39,51.06, nationalgrideso.com; elexon.co.uk; Electricity Maps Estimation
2024-01-16 00:00:00,Great Britain,Great Britain,GB,219.99,305.54,45.30,39.47, nationalgrideso.com; elexon.co.uk; Electricity Maps Estimation
2024-01-17 00:00:00,Great Britain,Great Britain,GB,231.48,320.50,42.01,32.95, nationalgrideso.com; elexon.co.uk
2024-01-18 00:00:00,Great Britain,Great Britain,GB,205.31,285.42,48.32,39.82, nationalgrideso.com; elexon.co.uk
2024-01-19 00:00:00,Great Britain,Great Britain,GB,175.95,240.25,55.56,49.76, nationalgrideso.com; elexon.co.uk
2024-01-20 00:00:00,Great Britain,Great Britain,GB,107.31,153.07,72.90,65.83, nationalgrideso.com; elexon.co.uk
2024-01-21 00:00:00,Great Britain,Great Britain,GB,73.77,112.20,81.68,70.81, nationalgrideso.com; elexon.co.uk
2024-01-22 00:00:00,Great Britain,Great Britain,GB,81.01,120.59,80.15,69.31, nationalgrideso.com; elexon.co.uk
2024-01-23 00:00:00,Great Britain,Great Britain,GB,89.81,131.09,77.48,66.43, nationalgrideso.com; elexon.co.uk
2024-01-24 00:00:00,Great Britain,Great Britain,GB,92.99,140.28,76.63,64.87, nationalgrideso.com; elexon.co.uk
2024-01-25 00:00:00,Great Britain,Great Britain,GB,128.94,187.06,67.53,55.20, nationalgrideso.com; elexon.co.uk
2024-01-26 00:00:00,Great Britain,Great Britain,GB,67.03,110.62,83.85,72.10, nationalgrideso.com; elexon.co.uk
2024-01-27 00:00:00,Great Britain,Great Britain,GB,85.96,139.86,78.93,65.45, nationalgrideso.com; elexon.co.uk
2024-01-28 00:00:00,Great Britain,Great Britain,GB,60.83,107.16,85.24,70.58, nationalgrideso.com; elexon.co.uk
2024-01-29 00:00:00,Great Britain,Great Britain,GB,175.21,252.31,56.95,41.18, nationalgrideso.com; elexon.co.uk
2024-01-30 00:00:00,Great Britain,Great Britain,GB,154.43,223.53,62.67,48.94, nationalgrideso.com; elexon.co.uk
