Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
2024-01-01 00:00:00,Croatia,Croatia,HR,116.34,149.36,79.47,59.99,entsoe.eu
2024-01-02 00:00:00,Croatia,Croatia,HR,112.92,141.40,81.01,67.61,entsoe.eu
2024-01-03 00:00:00,Croatia,Croatia,HR,110.87,137.95,81.41,70.35,entsoe.eu
2024-01-04 00:00:00,Croatia,Croatia,HR,149.62,178.70,75.85,69.37,entsoe.eu
2024-01-05 00:00:00,Croatia,Croatia,HR,138.72,163.54,78.17,71.97,entsoe.eu
2024-01-06 00:00:00,Croatia,Croatia,HR,167.66,197.99,73.51,72.38,entsoe.eu
2024-01-07 00:00:00,Croatia,Croatia,HR,168.94,195.50,74.35,74.12,entsoe.eu
2024-01-08 00:00:00,Croatia,Croatia,HR,139.12,158.54,78.90,78.45,entsoe.eu
2024-01-09 00:00:00,Croatia,Croatia,HR,163.29,190.45,73.78,72.54,entsoe.eu
2024-01-10 00:00:00,Croatia,Croatia,HR,172.78,201.24,71.54,68.44,entsoe.eu
2024-01-11 00:00:00,Croatia,Croatia,HR,172.46,202.04,71.52,63.88,entsoe.eu
2024-01-12 00:00:00,Croatia,Croatia,HR,145.74,173.32,75.25,71.38,entsoe.eu
2024-01-13 00:00:00,Croatia,Croatia,HR,163.14,204.25,70.61,56.39,entsoe.eu
2024-01-14 00:00:00,Croatia,Croatia,HR,173.77,219.82,67.66,52.46,entsoe.eu
2024-01-15 00:00:00,Croatia,Croatia,HR,167.09,203.56,70.29,58.93,entsoe.eu
2024-01-16 00:00:00,Croatia,Croatia,HR,175.71,207.79,70.22,61.62,entsoe.eu
2024-01-17 00:00:00,Croatia,Croatia,HR,151.77,184.19,72.99,69.69,entsoe.eu
2024-01-18 00:00:00,Croatia,Croatia,HR,207.40,232.84,68.51,67.74,entsoe.eu
2024-01-19 00:00:00,Croatia,Croatia,HR,173.56,195.39,72.96,69.31,entsoe.eu
2024-01-20 00:00:00,Croatia,Croatia,HR,131.38,159.65,76.89,69.47,entsoe.eu
2024-01-21 00:00:00,Croatia,Croatia,HR,154.54,190.93,72.43,62.37,entsoe.eu
2024-01-22 00:00:00,Croatia,Croatia,HR,176.56,208.02,71.12,58.42,entsoe.eu
2024-01-23 00:00:00,Croatia,Croatia,HR,171.60,200.27,72.60,60.58,entsoe.eu
2024-01-24 00:00:00,Croatia,Croatia,HR,173.03,204.78,71.00,60.16,entsoe.eu
2024-01-25 00:00:00,Croatia,Croatia,HR,163.14,197.07,71.82,59.41,entsoe.eu
2024-01-26 00:00:00,Croatia,Croatia,HR,185.70,221.42,68.94,57.09,entsoe.eu
2024-01-27 00:00:00,Croatia,Croatia,HR,144.82,184.62,73.52,58.75,entsoe.eu
2024-01-28 00:00:00,Croatia,Croatia,HR,149.76,192.78,70.93,60.14,entsoe.eu
2024-01-29 00:00:00,Croatia,Croatia,HR,171.39,206.95,70.15,58.99,entsoe.eu
2024-01-30 00:00:00,Croatia,Croatia,HR,194.42,230.65,67.74,54.25,entsoe.eu
2024-01-31 00:00:00,Croatia,Croatia,HR,216.46,253.82,64.52,52.17,entsoe.eu
2024-02-01 00:00:00,Croatia,Croatia,HR,215.43,253.63,64.76,51.69,entsoe.eu
2024-02-02 00:00:00,Croatia,Croatia,HR,174.64,214.26,69.40,56.02,entsoe.eu
2024-02-03 00:00:00,Croatia,Croatia,HR,195.95,244.56,65.85,44.08,entsoe.eu
2024-02-04 00:00:00,Croatia,Croatia,HR,195.63,244.20,66.23,41.92,entsoe.eu
2024-02-05 00:00:00,Croatia,Croatia,HR,208.84,246.47,65.24,50.82,entsoe.eu
2024-02-06 00:00:00,Croatia,Croatia,HR,205.75,244.47,65.68,51.16,entsoe.eu
2024-02-07 00:00:00,Croatia,Croatia,HR,206.14,244.79,65.18,56.64,entsoe.eu
2024-02-08 00:00:00,Croatia,Croatia,HR,221.10,256.03,63.77,59.60,entsoe.eu
2024-02-09 00:00:00,Croatia,Croatia,HR,176.30,209.11,70.04,66.87,entsoe.eu
2024-02-10 00:00:00,Croatia,Croatia,HR,165.86,200.62,71.34,69.19,entsoe.eu
2024-02-11 00:00:00,Croatia,Croatia,HR,232.78,259.20,66.04,65.41,entsoe.eu
2024-02-12 00:00:00,Croatia,Croatia,HR,240.19,258.27,66.65,64.30,entsoe.eu
2024-02-13 00:00:00,Croatia,Croatia,HR,151.05,164.20,78.00,74.34,entsoe.eu
2024-02-14 00:00:00,Croatia,Croatia,HR,221.74,239.83,69.09,68.67,entsoe.eu
2024-02-15 00:00:00,Croatia,Croatia,HR,257.25,281.09,63.19,61.79,entsoe.eu
2024-02-16 00:00:00,Croatia,Croatia,HR,217.65,240.67,68.04,60.93,entsoe.eu
2024-02-17 00:00:00,Croatia,Croatia,HR,202.76,238.08,67.69,56.17,entsoe.eu
2024-02-18 00:00:00,Croatia,Croatia,HR,173.21,209.71,70.91,58.54,entsoe.eu
2024-02-19 00:00:00,Croatia,Croatia,HR,175.24,198.04,75.47,62.58,entsoe.eu
2024-02-20 00:00:00,Croatia,Croatia,HR,127.13,143.00,83.04,74.66,entsoe.eu
2024-02-21 00:00:00,Croatia,Croatia,HR,164.35,187.97,75.97,65.19,entsoe.eu
2024-02-22 00:00:00,Croatia,Croatia,HR,157.07,191.06,73.30,67.38,entsoe.eu
2024-02-23 00:00:00,Croatia,Croatia,HR,151.51,184.04,74.01,71.40,entsoe.eu
2024-02-24 00:00:00,Croatia,Croatia,HR,215.45,251.41,64.41,61.99,entsoe.eu
2024-02-25 00:00:00,Croatia,Croatia,HR,217.84,257.87,62.78,61.41,entsoe.eu
2024-02-26 00:00:00,Croatia,Croatia,HR,203.89,237.45,65.99,63.32,entsoe.eu
2024-02-27 00:00:00,Croatia,Croatia,HR,171.38,200.36,71.50,70.50,entsoe.eu
2024-02-28 00:00:00,Croatia,Croatia,HR,211.95,244.45,66.62,64.73,entsoe.eu
2024-02-29 00:00:00,Croatia,Croatia,HR,147.06,180.66,72.56,69.19,entsoe.eu
2024-03-01 00:00:00,Croatia,Croatia,HR,142.77,175.43,73.97,69.14,entsoe.eu
2024-03-02 00:00:00,Croatia,Croatia,HR,157.28,194.38,72.96,62.85,entsoe.eu
2024-03-03 00:00:00,Croatia,Croatia,HR,135.02,174.11,74.37,66.77,entsoe.eu
2024-03-04 00:00:00,Croatia,Croatia,HR,199.25,231.27,68.14,66.95,entsoe.eu
2024-03-05 00:00:00,Croatia,Croatia,HR,223.19,251.49,65.40,64.18,entsoe.eu
2024-03-06 00:00:00,Croatia,Croatia,HR,219.80,247.46,66.34,64.51,entsoe.eu
2024-03-07 00:00:00,Croatia,Croatia,HR,150.06,179.54,74.10,71.77,entsoe.eu
2024-03-08 00:00:00,Croatia,Croatia,HR,169.76,206.47,70.44,64.04,entsoe.eu
2024-03-09 00:00:00,Croatia,Croatia,HR,126.56,160.86,77.52,64.87,entsoe.eu
2024-03-10 00:00:00,Croatia,Croatia,HR,120.08,149.99,78.95,70.30,entsoe.eu
2024-03-11 00:00:00,Croatia,Croatia,HR,217.00,235.59,69.52,68.41,entsoe.eu
2024-03-12 00:00:00,Croatia,Croatia,HR,214.44,230.12,70.10,69.74,entsoe.eu
2024-03-13 00:00:00,Croatia,Croatia,HR,185.66,198.83,73.84,72.17,entsoe.eu
2024-03-14 00:00:00,Croatia,Croatia,HR,169.01,183.42,75.52,71.49,entsoe.eu
2024-03-15 00:00:00,Croatia,Croatia,HR,158.39,189.84,73.58,62.79,entsoe.eu
