Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
2024-01-01 00:00:00,Hungary,Hungary,HU,142.75,172.76,81.21,27.96,entsoe.eu
2024-01-02 00:00:00,Hungary,Hungary,HU,159.81,190.81,79.26,29.04,entsoe.eu
2024-01-03 00:00:00,Hungary,Hungary,HU,157.81,188.75,78.56,29.67,entsoe.eu
2024-01-04 00:00:00,Hungary,Hungary,HU,186.01,224.77,71.77,27.82,entsoe.eu
2024-01-05 00:00:00,Hungary,Hungary,HU,200.88,242.77,69.09,25.08,entsoe.eu
2024-01-06 00:00:00,Hungary,Hungary,HU,222.39,265.67,65.68,17.65,entsoe.eu
2024-01-07 00:00:00,Hungary,Hungary,HU,216.78,258.19,67.41,24.96,entsoe.eu
2024-01-08 00:00:00,Hungary,Hungary,HU,227.24,272.69,63.63,24.99,entsoe.eu
2024-01-09 00:00:00,Hungary,Hungary,HU,246.75,296.83,60.25,19.89,entsoe.eu
2024-01-10 00:00:00,Hungary,Hungary,HU,246.86,295.87,61.42,22.33,entsoe.eu
2024-01-11 00:00:00,Hungary,Hungary,HU,244.41,293.20,61.92,23.08,entsoe.eu
2024-01-12 00:00:00,Hungary,Hungary,HU,248.84,298.76,61.02,22.46,entsoe.eu
2024-01-13 00:00:00,Hungary,Hungary,HU,219.92,263.96,67.89,24.46,entsoe.eu
2024-01-14 00:00:00,Hungary,Hungary,HU,218.92,261.62,68.41,22.49,entsoe.eu
2024-01-15 00:00:00,Hungary,Hungary,HU,228.86,275.81,64.47,24.35,entsoe.eu
2024-01-16 00:00:00,Hungary,Hungary,HU,214.03,262.77,63.91,25.20,entsoe.eu
2024-01-17 00:00:00,Hungary,Hungary,HU,235.47,284.15,61.27,19.71,entsoe.eu
2024-01-18 00:00:00,Hungary,Hungary,HU,223.41,270.72,62.12,19.57,entsoe.eu
2024-01-19 00:00:00,Hungary,Hungary,HU,223.39,269.90,63.99,22.29,entsoe.eu
2024-01-20 00:00:00,Hungary,Hungary,HU,215.51,258.33,68.84,23.37,entsoe.eu
2024-01-21 00:00:00,Hungary,Hungary,HU,202.70,242.01,72.84,24.82,entsoe.eu
2024-01-22 00:00:00,Hungary,Hungary,HU,237.61,280.47,66.95,26.22,entsoe.eu
2024-01-23 00:00:00,Hungary,Hungary,HU,231.78,273.64,68.23,27.10,entsoe.eu
2024-01-24 00:00:00,Hungary,Hungary,HU,225.50,267.61,68.31,26.04,entsoe.eu
2024-01-25 00:00:00,Hungary,Hungary,HU,191.04,229.09,72.78,33.95,entsoe.eu
2024-01-26 00:00:00,Hungary,Hungary,HU,210.48,251.34,70.67,29.88,entsoe.eu
2024-01-27 00:00:00,Hungary,Hungary,HU,164.80,198.95,77.57,36.46,entsoe.eu
2024-01-28 00:00:00,Hungary,Hungary,HU,174.83,209.87,76.20,27.27,entsoe.eu
2024-01-29 00:00:00,Hungary,Hungary,HU,210.37,250.17,69.86,26.32,entsoe.eu
2024-01-30 00:00:00,Hungary,Hungary,HU,213.21,255.57,68.82,29.09,entsoe.eu
2024-01-31 00:00:00,Hungary,Hungary,HU,236.22,281.19,65.33,22.47,entsoe.eu
2024-02-01 00:00:00,Hungary,Hungary,HU,248.43,292.38,64.84,22.26,entsoe.eu
2024-02-02 00:00:00,Hungary,Hungary,HU,223.56,265.95,68.30,26.07,entsoe.eu
2024-02-03 00:00:00,Hungary,Hungary,HU,181.52,216.96,76.84,32.50,entsoe.eu
2024-02-04 00:00:00,Hungary,Hungary,HU,166.52,200.76,78.65,33.62,entsoe.eu
2024-02-05 00:00:00,Hungary,Hungary,HU,186.16,221.76,74.73,30.81,entsoe.eu
2024-02-06 00:00:00,Hungary,Hungary,HU,184.06,221.25,74.57,30.39,entsoe.eu
2024-02-07 00:00:00,Hungary,Hungary,HU,197.31,237.20,71.10,26.19,entsoe.eu
2024-02-08 00:00:00,Hungary,Hungary,HU,226.19,272.29,64.72,22.17,entsoe.eu
2024-02-09 00:00:00,Hungary,Hungary,HU,244.78,291.74,62.25,22.72,entsoe.eu
2024-02-10 00:00:00,Hungary,Hungary,HU,191.63,227.58,73.48,30.98,entsoe.eu
2024-02-11 00:00:00,Hungary,Hungary,HU,228.80,265.63,68.77,23.77,entsoe.eu
2024-02-12 00:00:00,Hungary,Hungary,HU,233.98,275.83,65.54,24.88,entsoe.eu
2024-02-13 00:00:00,Hungary,Hungary,HU,206.15,248.98,69.09,30.02,entsoe.eu
2024-02-14 00:00:00,Hungary,Hungary,HU,211.26,252.69,67.81,26.92,entsoe.eu
2024-02-15 00:00:00,Hungary,Hungary,HU,229.34,273.00,64.86,23.99,entsoe.eu
2024-02-16 00:00:00,Hungary,Hungary,HU,219.27,258.91,69.95,30.19,entsoe.eu
2024-02-17 00:00:00,Hungary,Hungary,HU,216.85,255.29,71.86,27.41,entsoe.eu
2024-02-18 00:00:00,Hungary,Hungary,HU,195.60,233.96,74.12,28.46,entsoe.eu
2024-02-19 00:00:00,Hungary,Hungary,HU,232.73,275.14,67.50,27.62,entsoe.eu
2024-02-20 00:00:00,Hungary,Hungary,HU,213.99,255.64,70.11,31.47,entsoe.eu
2024-02-21 00:00:00,Hungary,Hungary,HU,226.46,269.37,68.79,29.47,entsoe.eu
2024-02-22 00:00:00,Hungary,Hungary,HU,210.12,248.54,71.56,30.83,entsoe.eu
2024-02-23 00:00:00,Hungary,Hungary,HU,222.24,260.96,68.67,27.12,entsoe.eu
2024-02-24 00:00:00,Hungary,Hungary,HU,203.78,239.85,72.82,23.29,entsoe.eu
2024-02-25 00:00:00,Hungary,Hungary,HU,193.09,230.07,73.11,27.12,entsoe.eu
2024-02-26 00:00:00,Hungary,Hungary,HU,197.09,236.37,71.12,31.84,entsoe.eu
2024-02-27 00:00:00,Hungary,Hungary,HU,229.61,274.79,64.38,25.66,entsoe.eu
2024-02-28 00:00:00,Hungary,Hungary,HU,238.55,287.52,62.56,24.59,entsoe.eu
2024-02-29 00:00:00,Hungary,Hungary,HU,218.98,260.70,69.13,24.28,entsoe.eu
2024-03-01 00:00:00,Hungary,Hungary,HU,250.17,291.43,66.36,21.89,entsoe.eu
2024-03-02 00:00:00,Hungary,Hungary,HU,232.46,270.83,71.12,26.79,entsoe.eu
2024-03-03 00:00:00,Hungary,Hungary,HU,191.55,227.86,75.55,33.78,entsoe.eu
2024-03-04 00:00:00,Hungary,Hungary,HU,222.07,264.15,67.86,25.05,entsoe.eu
2024-03-05 00:00:00,Hungary,Hungary,HU,226.74,270.33,66.88,25.51,entsoe.eu
2024-03-06 00:00:00,Hungary,Hungary,HU,230.56,276.02,65.66,26.93,entsoe.eu
2024-03-07 00:00:00,Hungary,Hungary,HU,256.46,301.53,63.22,20.82,entsoe.eu
2024-03-08 00:00:00,Hungary,Hungary,HU,236.32,277.72,68.28,24.30,entsoe.eu
2024-03-09 00:00:00,Hungary,Hungary,HU,180.82,219.82,75.69,35.27,entsoe.eu
2024-03-10 00:00:00,Hungary,Hungary,HU,182.03,219.44,75.72,31.38,entsoe.eu
2024-03-11 00:00:00,Hungary,Hungary,HU,254.54,296.57,64.08,19.09,entsoe.eu
2024-03-12 00:00:00,Hungary,Hungary,HU,223.51,267.03,66.57,31.55,entsoe.eu
2024-03-13 00:00:00,Hungary,Hungary,HU,227.52,272.56,66.71,28.35,entsoe.eu
2024-03-14 00:00:00,Hungary,Hungary,HU,232.51,276.95,67.89,25.01,entsoe.eu
2024-03-15 00:00:00,Hungary,Hungary,HU,207.39,247.53,73.32,28.40,entsoe.eu
2024-03-16 00:00:00,Hungary,Hungary,HU,202.86,243.15,72.76,27.95,entsoe.eu
2024-03-17 00:00:00,Hungary,Hungary,HU,197.67,239.73,72.37,28.68,entsoe.eu
2024-03-18 00:00:00,Hungary,Hungary,HU,229.14,272.97,67.45,28.11,entsoe.eu
2024-03-19 00:00:00,Hungary,Hungary,HU,222.69,268.47,66.72,30.35,entsoe.eu
2024-03-20 00:00:00,Hungary,Hungary,HU,236.79,283.07,64.73,28.35,entsoe.eu
2024-03-21 00:00:00,Hungary,Hungary,HU,232.30,277.39,67.24,27.63,entsoe.eu
2024-03-22 00:00:00,Hungary,Hungary,HU,222.93,266.07,69.04,28.56,entsoe.eu
2024-03-23 00:00:00,Hungary,Hungary,HU,170.88,209.07,76.84,34.25,entsoe.eu
2024-03-24 00:00:00,Hungary,Hungary,HU,153.34,190.66,79.04,36.54,entsoe.eu
2024-03-25 00:00:00,Hungary,Hungary,HU,217.68,262.75,68.06,35.18,entsoe.eu
2024-03-26 00:00:00,Hungary,Hungary,HU,200.31,242.01,72.03,41.53,entsoe.eu
2024-03-27 00:00:00,Hungary,Hungary,HU,208.89,246.59,71.63,33.07,entsoe.eu
2024-03-28 00:00:00,Hungary,Hungary,HU,174.72,209.65,76.80,36.21,entsoe.eu
2024-03-29 00:00:00,Hungary,Hungary,HU,153.02,188.07,79.55,37.91,entsoe.eu
2024-03-30 00:00:00,Hungary,Hungary,HU,149.04,185.12,79.31,38.40,entsoe.eu
2024-03-31 00:00:00,Hungary,Hungary,HU,148.40,185.59,79.87,39.19,entsoe.eu
2024-04-01 00:00:00,Hungary,Hungary,HU,134.05,166.28,83.32,41.46,entsoe.eu
2024-04-02 00:00:00,Hungary,Hungary,HU,161.11,193.39,79.69,38.17,entsoe.eu
2024-04-03 00:00:00,Hungary,Hungary,HU,189.45,225.37,75.12,32.36,entsoe.eu
2024-04-04 00:00:00,Hungary,Hungary,HU,183.02,220.41,76.07,32.81,entsoe.eu
2024-04-05 00:00:00,Hungary,Hungary,HU,160.31,194.73,79.79,37.59,entsoe.eu
2024-04-06 00:00:00,Hungary,Hungary,HU,161.63,196.16,80.34,36.82,entsoe.eu
2024-04-07 00:00:00,Hungary,Hungary,HU,156.60,192.06,79.46,38.06,entsoe.eu
2024-04-08 00:00:00,Hungary,Hungary,HU,174.57,210.93,76.58,39.51,entsoe.eu
2024-04-09 00:00:00,Hungary,Hungary,HU,172.14,207.77,77.72,40.59,entsoe.eu
2024-04-10 00:00:00,Hungary,Hungary,HU,171.30,206.39,77.89,41.79,entsoe.eu
2024-04-11 00:00:00,Hungary,Hungary,HU,180.90,216.19,75.97,35.04,entsoe.eu
2024-04-12 00:00:00,Hungary,Hungary,HU,180.38,215.87,75.85,31.18,entsoe.eu
2024-04-13 00:00:00,Hungary,Hungary,HU,133.57,164.18,83.82,37.15,entsoe.eu
2024-04-14 00:00:00,Hungary,Hungary,HU,141.95,175.67,81.31,34.24,entsoe.eu
2024-04-15 00:00:00,Hungary,Hungary,HU,167.59,203.32,77.50,32.27,entsoe.eu
2024-04-16 00:00:00,Hungary,Hungary,HU,196.91,234.71,72.73,25.78,entsoe.eu
2024-04-17 00:00:00,Hungary,Hungary,HU,185.80,224.14,73.94,29.62,entsoe.eu
2024-04-18 00:00:00,Hungary,Hungary,HU,181.03,219.09,74.69,30.67,entsoe.eu
2024-04-19 00:00:00,Hungary,Hungary,HU,165.16,201.95,77.32,34.74,entsoe.eu
2024-04-20 00:00:00,Hungary,Hungary,HU,143.94,178.71,79.94,35.93,entsoe.eu
2024-04-21 00:00:00,Hungary,Hungary,HU,135.07,169.88,80.94,37.48,entsoe.eu
2024-04-22 00:00:00,Hungary,Hungary,HU,194.62,235.03,71.96,27.33,entsoe.eu
2024-04-23 00:00:00,Hungary,Hungary,HU,208.87,252.30,69.83,25.73,entsoe.eu
2024-04-24 00:00:00,Hungary,Hungary,HU,199.21,241.24,71.11,28.46,entsoe.eu
2024-04-25 00:00:00,Hungary,Hungary,HU,191.39,232.17,72.58,28.82,entsoe.eu
2024-04-26 00:00:00,Hungary,Hungary,HU,183.51,222.25,73.77,30.56,entsoe.eu
2024-04-27 00:00:00,Hungary,Hungary,HU,143.51,174.13,82.07,38.86,entsoe.eu
2024-04-28 00:00:00,Hungary,Hungary,HU,125.65,155.95,84.30,40.41,entsoe.eu
2024-04-29 00:00:00,Hungary,Hungary,HU,146.95,181.31,79.22,33.43,entsoe.eu
2024-04-30 00:00:00,Hungary,Hungary,HU,143.84,178.29,79.23,33.35,entsoe.eu
2024-05-01 00:00:00,Hungary,Hungary,HU,127.22,158.17,83.75,36.80,entsoe.eu
2024-05-02 00:00:00,Hungary,Hungary,HU,135.48,165.32,83.49,38.10,entsoe.eu
2024-05-03 00:00:00,Hungary,Hungary,HU,161.45,190.71,80.20,29.42,entsoe.eu
2024-05-04 00:00:00,Hungary,Hungary,HU,147.19,178.44,80.89,32.73,entsoe.eu
2024-05-05 00:00:00,Hungary,Hungary,HU,152.87,184.91,80.42,29.32,entsoe.eu
2024-05-06 00:00:00,Hungary,Hungary,HU,167.53,200.07,78.41,31.43,entsoe.eu
2024-05-07 00:00:00,Hungary,Hungary,HU,177.80,212.13,76.42,31.73,entsoe.eu
2024-05-08 00:00:00,Hungary,Hungary,HU,183.63,217.40,76.27,29.31,entsoe.eu
2024-05-09 00:00:00,Hungary,Hungary,HU,132.04,161.36,83.75,43.48,entsoe.eu
2024-05-10 00:00:00,Hungary,Hungary,HU,146.69,179.72,79.93,43.22,entsoe.eu
2024-05-11 00:00:00,Hungary,Hungary,HU,140.80,173.64,80.83,41.51,entsoe.eu
2024-05-12 00:00:00,Hungary,Hungary,HU,134.03,167.39,82.73,40.42,entsoe.eu
2024-05-13 00:00:00,Hungary,Hungary,HU,139.24,172.93,81.09,43.88,entsoe.eu
2024-05-14 00:00:00,Hungary,Hungary,HU,138.25,171.75,81.32,43.16,entsoe.eu
2024-05-15 00:00:00,Hungary,Hungary,HU,152.25,187.24,79.69,42.46,entsoe.eu
