Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
2024-01-01 00:00:00,North Macedonia,North Macedonia,MK,483.76,540.56,30.00,18.06,entsoe.eu
2024-01-02 00:00:00,North Macedonia,North Macedonia,MK,494.32,551.04,28.32,20.69,entsoe.eu
2024-01-03 00:00:00,North Macedonia,North Macedonia,MK,494.75,551.75,27.98,21.21,entsoe.eu
2024-01-04 00:00:00,North Macedonia,North Macedonia,MK,461.86,520.57,30.18,26.24,entsoe.eu
2024-01-05 00:00:00,North Macedonia,North Macedonia,MK,482.87,540.75,28.28,23.53,entsoe.eu
2024-01-06 00:00:00,North Macedonia,North Macedonia,MK,401.94,459.75,37.21,32.67,entsoe.eu
2024-01-07 00:00:00,North Macedonia,North Macedonia,MK,467.54,529.79,27.90,20.77,entsoe.eu
2024-01-08 00:00:00,North Macedonia,North Macedonia,MK,433.88,496.37,31.25,27.37,entsoe.eu
2024-01-09 00:00:00,North Macedonia,North Macedonia,MK,392.80,453.31,36.18,34.82,entsoe.eu
2024-01-10 00:00:00,North Macedonia,North Macedonia,MK,393.80,455.59,35.38,34.21,entsoe.eu
2024-01-11 00:00:00,North Macedonia,North Macedonia,MK,431.01,491.59,31.82,29.90,entsoe.eu
2024-01-12 00:00:00,North Macedonia,North Macedonia,MK,409.98,472.16,33.46,32.52,entsoe.eu
2024-01-13 00:00:00,North Macedonia,North Macedonia,MK,482.73,541.27,28.33,22.46,entsoe.eu
2024-01-14 00:00:00,North Macedonia,North Macedonia,MK,479.22,536.89,29.68,22.10,entsoe.eu
2024-01-15 00:00:00,North Macedonia,North Macedonia,MK,464.40,523.47,29.06,26.04,entsoe.eu
2024-01-16 00:00:00,North Macedonia,North Macedonia,MK,361.04,420.11,40.24,38.29,entsoe.eu; Electricity Maps Estimation
2024-01-17 00:00:00,North Macedonia,North Macedonia,MK,380.80,444.04,36.23,34.19,entsoe.eu; Electricity Maps Estimation
2024-01-18 00:00:00,North Macedonia,North Macedonia,MK,374.58,432.60,40.27,37.41,entsoe.eu
2024-01-19 00:00:00,North Macedonia,North Macedonia,MK,410.79,465.48,37.42,32.70,entsoe.eu
2024-01-20 00:00:00,North Macedonia,North Macedonia,MK,419.43,471.62,37.74,32.48,entsoe.eu
2024-01-21 00:00:00,North Macedonia,North Macedonia,MK,413.74,469.81,36.43,30.62,entsoe.eu
2024-01-22 00:00:00,North Macedonia,North Macedonia,MK,342.39,400.30,41.67,39.88,entsoe.eu
2024-01-23 00:00:00,North Macedonia,North Macedonia,MK,397.12,453.89,36.31,34.19,entsoe.eu
2024-01-24 00:00:00,North Macedonia,North Macedonia,MK,364.20,420.35,40.88,37.16,entsoe.eu
2024-01-25 00:00:00,North Macedonia,North Macedonia,MK,408.08,462.85,37.77,30.66,entsoe.eu
2024-01-26 00:00:00,North Macedonia,North Macedonia,MK,403.10,459.04,37.81,31.32,entsoe.eu
2024-01-27 00:00:00,North Macedonia,North Macedonia,MK,423.70,477.56,36.84,29.13,entsoe.eu
2024-01-28 00:00:00,North Macedonia,North Macedonia,MK,408.31,464.49,37.61,29.69,entsoe.eu
2024-01-29 00:00:00,North Macedonia,North Macedonia,MK,432.94,492.13,32.55,27.22,entsoe.eu
2024-01-30 00:00:00,North Macedonia,North Macedonia,MK,467.53,528.38,27.69,24.71,entsoe.eu
2024-01-31 00:00:00,North Macedonia,North Macedonia,MK,450.74,512.77,28.97,27.33,entsoe.eu
2024-02-01 00:00:00,North Macedonia,North Macedonia,MK,426.78,482.62,34.70,31.74,entsoe.eu
2024-02-02 00:00:00,North Macedonia,North Macedonia,MK,516.52,577.84,22.63,20.16,entsoe.eu
2024-02-03 00:00:00,North Macedonia,North Macedonia,MK,479.21,535.40,30.39,22.23,entsoe.eu
2024-02-04 00:00:00,North Macedonia,North Macedonia,MK,467.59,521.80,32.44,24.57,entsoe.eu
2024-02-05 00:00:00,North Macedonia,North Macedonia,MK,457.81,513.24,32.67,24.18,entsoe.eu
2024-02-06 00:00:00,North Macedonia,North Macedonia,MK,476.53,532.13,31.04,21.80,entsoe.eu
