Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
2024-01-01 00:00:00,Netherlands,Netherlands,NL,100.12,138.31,77.21,68.90,ned.nl
2024-01-02 00:00:00,Netherlands,Netherlands,NL,124.79,168.95,71.32,61.06,ned.nl
2024-01-03 00:00:00,Netherlands,Netherlands,NL,126.11,170.83,71.64,63.81,ned.nl
2024-01-04 00:00:00,Netherlands,Netherlands,NL,257.58,334.69,42.65,35.39,ned.nl
2024-01-05 00:00:00,Netherlands,Netherlands,NL,237.90,308.19,48.77,43.61,ned.nl
2024-01-06 00:00:00,Netherlands,Netherlands,NL,243.51,312.60,49.79,43.98,ned.nl
2024-01-07 00:00:00,Netherlands,Netherlands,NL,206.07,267.55,57.77,52.91,ned.nl
2024-01-08 00:00:00,Netherlands,Netherlands,NL,240.87,314.27,46.81,44.09,ned.nl
2024-01-09 00:00:00,Netherlands,Netherlands,NL,247.35,323.99,44.52,42.17,ned.nl
2024-01-10 00:00:00,Netherlands,Netherlands,NL,298.32,387.52,33.75,31.19,ned.nl
2024-01-11 00:00:00,Netherlands,Netherlands,NL,344.31,443.78,23.98,21.20,ned.nl
2024-01-12 00:00:00,Netherlands,Netherlands,NL,355.13,455.14,22.97,20.01,ned.nl
2024-01-13 00:00:00,Netherlands,Netherlands,NL,258.41,331.68,48.96,45.61,ned.nl
2024-01-14 00:00:00,Netherlands,Netherlands,NL,235.28,302.07,54.69,51.12,ned.nl
2024-01-15 00:00:00,Netherlands,Netherlands,NL,238.34,310.45,48.67,45.90,ned.nl
2024-01-16 00:00:00,Netherlands,Netherlands,NL,282.93,367.47,37.39,34.81,ned.nl
2024-01-17 00:00:00,Netherlands,Netherlands,NL,332.66,425.96,28.63,25.62,ned.nl
2024-01-18 00:00:00,Netherlands,Netherlands,NL,323.38,417.43,29.91,27.13,ned.nl
2024-01-19 00:00:00,Netherlands,Netherlands,NL,245.49,319.59,46.88,44.09,ned.nl
2024-01-20 00:00:00,Netherlands,Netherlands,NL,186.88,246.25,60.24,57.13,ned.nl
2024-01-21 00:00:00,Netherlands,Netherlands,NL,141.85,189.90,69.38,65.88,ned.nl
2024-01-22 00:00:00,Netherlands,Netherlands,NL,137.67,184.90,70.84,67.29,ned.nl
2024-01-23 00:00:00,Netherlands,Netherlands,NL,150.36,201.11,67.72,64.28,ned.nl
2024-01-24 00:00:00,Netherlands,Netherlands,NL,143.79,193.32,69.14,64.74,ned.nl
2024-01-25 00:00:00,Netherlands,Netherlands,NL,263.78,344.20,41.21,37.67,ned.nl
2024-01-26 00:00:00,Netherlands,Netherlands,NL,146.35,196.65,68.99,65.68,ned.nl
2024-01-27 00:00:00,Netherlands,Netherlands,NL,201.18,267.10,57.63,53.07,ned.nl
2024-01-28 00:00:00,Netherlands,Netherlands,NL,167.34,225.34,64.27,57.76,ned.nl
2024-01-29 00:00:00,Netherlands,Netherlands,NL,270.22,352.84,40.28,36.45,ned.nl
2024-01-30 00:00:00,Netherlands,Netherlands,NL,223.14,290.53,52.61,49.28,ned.nl
2024-01-31 00:00:00,Netherlands,Netherlands,NL,223.25,291.88,51.37,47.84,ned.nl
2024-02-01 00:00:00,Netherlands,Netherlands,NL,212.58,279.49,54.95,51.46,ned.nl
2024-02-02 00:00:00,Netherlands,Netherlands,NL,130.86,176.20,72.71,69.18,ned.nl
2024-02-03 00:00:00,Netherlands,Netherlands,NL,121.71,164.83,74.45,70.54,ned.nl
2024-02-04 00:00:00,Netherlands,Netherlands,NL,102.80,141.11,78.05,74.10,ned.nl
2024-02-05 00:00:00,Netherlands,Netherlands,NL,117.39,159.52,75.48,72.17,ned.nl
2024-02-06 00:00:00,Netherlands,Netherlands,NL,118.29,160.45,75.21,71.43,ned.nl
2024-02-07 00:00:00,Netherlands,Netherlands,NL,304.29,392.17,34.40,29.89,ned.nl
2024-02-08 00:00:00,Netherlands,Netherlands,NL,295.09,380.53,35.40,31.96,ned.nl
2024-02-09 00:00:00,Netherlands,Netherlands,NL,184.86,243.21,61.46,57.25,ned.nl
2024-02-10 00:00:00,Netherlands,Netherlands,NL,260.68,336.09,48.15,42.98,ned.nl
2024-02-11 00:00:00,Netherlands,Netherlands,NL,255.10,326.71,51.09,44.43,ned.nl
2024-02-12 00:00:00,Netherlands,Netherlands,NL,295.63,382.36,36.44,32.86,ned.nl
2024-02-13 00:00:00,Netherlands,Netherlands,NL,208.91,275.27,55.38,51.91,ned.nl
2024-02-14 00:00:00,Netherlands,Netherlands,NL,199.25,260.73,58.39,54.67,ned.nl
2024-02-15 00:00:00,Netherlands,Netherlands,NL,239.76,312.12,49.27,45.35,ned.nl
2024-02-16 00:00:00,Netherlands,Netherlands,NL,226.03,294.39,54.25,49.17,ned.nl
2024-02-17 00:00:00,Netherlands,Netherlands,NL,261.12,339.98,46.15,40.83,ned.nl
2024-02-18 00:00:00,Netherlands,Netherlands,NL,142.56,191.03,70.88,65.97,ned.nl
2024-02-19 00:00:00,Netherlands,Netherlands,NL,229.81,299.94,51.99,48.20,ned.nl
2024-02-20 00:00:00,Netherlands,Netherlands,NL,191.20,250.71,61.46,57.56,ned.nl
2024-02-21 00:00:00,Netherlands,Netherlands,NL,147.34,195.56,70.21,66.26,ned.nl
2024-02-22 00:00:00,Netherlands,Netherlands,NL,153.25,203.23,69.08,64.50,ned.nl
2024-02-23 00:00:00,Netherlands,Netherlands,NL,157.41,208.30,68.18,64.24,ned.nl
2024-02-24 00:00:00,Netherlands,Netherlands,NL,211.96,276.92,57.66,52.65,ned.nl
2024-02-25 00:00:00,Netherlands,Netherlands,NL,239.63,312.84,51.08,45.39,ned.nl
2024-02-26 00:00:00,Netherlands,Netherlands,NL,206.05,269.45,55.17,52.28,ned.nl
2024-02-27 00:00:00,Netherlands,Netherlands,NL,299.99,388.75,34.17,31.07,ned.nl
2024-02-28 00:00:00,Netherlands,Netherlands,NL,268.14,348.79,40.42,37.54,ned.nl
2024-02-29 00:00:00,Netherlands,Netherlands,NL,177.70,232.67,64.38,60.68,ned.nl
2024-03-01 00:00:00,Netherlands,Netherlands,NL,186.91,246.31,61.36,57.72,ned.nl
2024-03-02 00:00:00,Netherlands,Netherlands,NL,161.87,216.70,66.91,62.76,ned.nl
2024-03-03 00:00:00,Netherlands,Netherlands,NL,243.19,314.39,53.86,48.91,ned.nl
2024-03-04 00:00:00,Netherlands,Netherlands,NL,303.60,392.04,34.72,31.09,ned.nl
2024-03-05 00:00:00,Netherlands,Netherlands,NL,329.28,420.42,30.09,26.40,ned.nl
2024-03-06 00:00:00,Netherlands,Netherlands,NL,309.56,399.88,32.87,29.57,ned.nl
2024-03-07 00:00:00,Netherlands,Netherlands,NL,221.61,288.84,54.27,50.85,ned.nl
2024-03-08 00:00:00,Netherlands,Netherlands,NL,144.32,193.78,71.19,67.81,ned.nl
2024-03-09 00:00:00,Netherlands,Netherlands,NL,135.56,182.86,73.36,68.98,ned.nl
2024-03-10 00:00:00,Netherlands,Netherlands,NL,161.39,213.74,68.95,64.94,ned.nl
2024-03-11 00:00:00,Netherlands,Netherlands,NL,308.05,391.80,37.63,33.79,ned.nl
