Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
2024-01-01 00:00:00,Poland,Poland,PL,677.98,742.27,28.39,26.59,entsoe.eu
2024-01-02 00:00:00,Poland,Poland,PL,698.11,759.07,28.32,27.10,entsoe.eu
2024-01-03 00:00:00,Poland,Poland,PL,643.56,701.17,33.48,32.78,entsoe.eu
2024-01-04 00:00:00,Poland,Poland,PL,708.48,768.52,27.29,26.03,entsoe.eu
2024-01-05 00:00:00,Poland,Poland,PL,781.72,846.28,19.83,17.36,entsoe.eu
2024-01-06 00:00:00,Poland,Poland,PL,739.02,802.22,23.56,21.77,entsoe.eu
2024-01-07 00:00:00,Poland,Poland,PL,719.47,780.40,25.97,23.67,entsoe.eu
2024-01-08 00:00:00,Poland,Poland,PL,771.09,834.17,21.24,19.11,entsoe.eu
2024-01-09 00:00:00,Poland,Poland,PL,810.07,874.37,18.16,16.20,entsoe.eu
2024-01-10 00:00:00,Poland,Poland,PL,813.68,879.43,17.17,15.62,entsoe.eu
2024-01-11 00:00:00,Poland,Poland,PL,750.34,812.71,22.92,22.11,entsoe.eu
2024-01-12 00:00:00,Poland,Poland,PL,734.62,795.29,25.17,24.22,entsoe.eu
2024-01-13 00:00:00,Poland,Poland,PL,638.09,694.98,34.17,33.60,entsoe.eu
2024-01-14 00:00:00,Poland,Poland,PL,577.88,631.27,40.21,39.95,entsoe.eu
2024-01-15 00:00:00,Poland,Poland,PL,607.17,660.35,37.97,37.79,entsoe.eu
2024-01-16 00:00:00,Poland,Poland,PL,776.68,839.06,21.07,20.05,entsoe.eu
2024-01-17 00:00:00,Poland,Poland,PL,706.15,766.53,27.23,26.41,entsoe.eu
2024-01-18 00:00:00,Poland,Poland,PL,770.55,834.64,20.72,18.64,entsoe.eu
2024-01-19 00:00:00,Poland,Poland,PL,648.15,704.84,33.26,32.90,entsoe.eu
2024-01-20 00:00:00,Poland,Poland,PL,552.74,606.18,42.05,41.71,entsoe.eu
2024-01-21 00:00:00,Poland,Poland,PL,575.37,632.53,39.04,38.51,entsoe.eu
2024-01-22 00:00:00,Poland,Poland,PL,526.45,576.63,45.34,45.04,entsoe.eu
2024-01-23 00:00:00,Poland,Poland,PL,557.90,609.56,42.41,42.11,entsoe.eu
2024-01-24 00:00:00,Poland,Poland,PL,540.35,590.55,44.15,44.01,entsoe.eu
2024-01-25 00:00:00,Poland,Poland,PL,589.03,642.71,38.92,38.18,entsoe.eu
2024-01-26 00:00:00,Poland,Poland,PL,698.96,757.33,28.92,28.17,entsoe.eu
2024-01-27 00:00:00,Poland,Poland,PL,561.92,615.12,41.72,41.05,entsoe.eu
2024-01-28 00:00:00,Poland,Poland,PL,694.39,756.09,28.64,26.01,entsoe.eu
2024-01-29 00:00:00,Poland,Poland,PL,608.10,663.96,37.46,36.56,entsoe.eu
2024-01-30 00:00:00,Poland,Poland,PL,646.10,703.82,33.67,32.58,entsoe.eu
2024-01-31 00:00:00,Poland,Poland,PL,646.91,703.27,33.57,32.86,entsoe.eu
2024-02-01 00:00:00,Poland,Poland,PL,545.24,595.83,43.64,43.15,entsoe.eu
2024-02-02 00:00:00,Poland,Poland,PL,568.48,620.02,41.85,41.21,entsoe.eu
