Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
2024-01-01 00:00:00,Serbia,Serbia,RS,413.47,457.50,43.31,39.63,entsoe.eu
2024-01-02 00:00:00,Serbia,Serbia,RS,445.05,488.99,40.98,39.22,entsoe.eu
2024-01-03 00:00:00,Serbia,Serbia,RS,445.82,489.96,40.74,39.53,entsoe.eu
2024-01-04 00:00:00,Serbia,Serbia,RS,451.65,497.41,38.88,37.07,entsoe.eu
2024-01-05 00:00:00,Serbia,Serbia,RS,421.76,464.87,43.91,41.87,entsoe.eu
2024-01-06 00:00:00,Serbia,Serbia,RS,410.69,455.21,43.07,40.96,entsoe.eu
2024-01-07 00:00:00,Serbia,Serbia,RS,445.09,491.48,38.68,36.80,entsoe.eu
2024-01-08 00:00:00,Serbia,Serbia,RS,443.76,489.29,39.43,38.06,entsoe.eu
2024-01-09 00:00:00,Serbia,Serbia,RS,446.41,490.21,41.05,40.41,entsoe.eu
2024-01-10 00:00:00,Serbia,Serbia,RS,455.06,500.43,38.65,37.86,entsoe.eu
2024-01-11 00:00:00,Serbia,Serbia,RS,463.04,509.13,37.66,36.81,entsoe.eu
2024-01-12 00:00:00,Serbia,Serbia,RS,450.54,495.41,39.55,38.72,entsoe.eu
2024-01-13 00:00:00,Serbia,Serbia,RS,445.67,491.43,39.52,37.08,entsoe.eu
2024-01-14 00:00:00,Serbia,Serbia,RS,451.26,498.62,37.78,34.49,entsoe.eu
2024-01-15 00:00:00,Serbia,Serbia,RS,428.54,470.74,44.32,42.96,entsoe.eu
2024-01-16 00:00:00,Serbia,Serbia,RS,435.82,479.24,42.26,41.41,entsoe.eu
2024-01-17 00:00:00,Serbia,Serbia,RS,438.36,483.36,39.93,39.32,entsoe.eu
2024-01-18 00:00:00,Serbia,Serbia,RS,443.32,488.73,39.14,38.76,entsoe.eu
2024-01-19 00:00:00,Serbia,Serbia,RS,428.57,473.49,41.17,40.03,entsoe.eu
2024-01-20 00:00:00,Serbia,Serbia,RS,428.26,474.56,40.39,38.68,entsoe.eu
2024-01-21 00:00:00,Serbia,Serbia,RS,436.82,483.01,39.94,38.04,entsoe.eu
2024-01-22 00:00:00,Serbia,Serbia,RS,418.11,462.45,42.60,41.10,entsoe.eu; Electricity Maps Estimation
2024-01-23 00:00:00,Serbia,Serbia,RS,447.00,491.97,40.59,39.04,entsoe.eu; Electricity Maps Estimation
2024-01-24 00:00:00,Serbia,Serbia,RS,451.14,497.50,38.26,36.80,entsoe.eu; Electricity Maps Estimation
2024-01-25 00:00:00,Serbia,Serbia,RS,467.45,515.42,35.78,33.94,entsoe.eu; Electricity Maps Estimation
2024-01-26 00:00:00,Serbia,Serbia,RS,460.88,507.72,37.45,35.51,entsoe.eu; Electricity Maps Estimation
2024-01-27 00:00:00,Serbia,Serbia,RS,444.84,491.94,38.40,35.67,entsoe.eu; Electricity Maps Estimation
2024-01-28 00:00:00,Serbia,Serbia,RS,459.73,507.51,36.71,34.44,entsoe.eu; Electricity Maps Estimation
